id;text;aspect;polarity;start_position;end_position
5039;O hotel não oferece opções vegetarianas adequadas no menu do restaurante. Isso foi decepcionante para mim, como vegetariano.;vegetariano;-1;112;123
5040;O hotel não oferece opções vegetarianas adequadas no menu do restaurante. Isso foi decepcionante para mim, como vegetariano.;menu;-1;53;57
5041;A piscina do hotel estava suja e mal cuidada. Não nos sentimos confortáveis em usá-la durante nossa estadia.;piscina;-1;2;9
5042;A comida servida no café da manhã estava fria e sem graça. Esperávamos uma variedade melhor de opções.;café da manhã;-1;20;33
5043;A comida servida no café da manhã estava fria e sem graça. Esperávamos uma variedade melhor de opções.;variedade;-1;75;84
5044;A internet do hotel estava fora do ar durante toda a nossa estadia. Isso causou inconvenientes significativos para nós.;internet;-1;2;10
5045;A internet do hotel estava fora do ar durante toda a nossa estadia. Isso causou inconvenientes significativos para nós.;inconvenientes;-1;80;94
5046;O serviço de quarto do hotel era lento e pouco eficiente. Tivemos que esperar muito tempo para receber nossos pedidos.;serviço de quarto;-1;2;19
5047;O hotel não oferece estacionamento próprio, o que dificultou a nossa vida, pois tivemos que procurar estacionamento na rua.;estacionamento;-1;20;34
5048;O ar condicionado do quarto estava quebrado durante toda a nossa estadia. Passamos noites desconfortáveis devido ao calor.;ar condicionado;-1;2;17
5049;O hotel não oferece opções de lazer para crianças. Ficamos entediados durante nossa estadia.;lazer;-1;30;35
5050;O hotel não oferece opções de lazer para crianças. Ficamos entediados durante nossa estadia.;crianças;-1;41;49
5051;O serviço de café da manhã do hotel era limitado e pouco variado. Esperávamos mais opções.;café da manhã;-1;13;26
5052;O hotel não oferece serviço de quarto, o que foi frustrante para nós que gostamos de pedir refeições no quarto.;serviço de quarto;-1;20;37
5053;O hotel não oferece opções de entretenimento noturno para os hóspedes. Tivemos que procurar diversão em outros lugares.;entretenimento;-1;30;44
5054;O hotel não oferece opções de entretenimento noturno para os hóspedes. Tivemos que procurar diversão em outros lugares.;diversão;-1;92;100
5055;O hotel não oferece café da manhã incluso na diária. Isso foi decepcionante, pois esperávamos uma experiência mais completa.;café da manhã;-1;20;33
5056;O hotel não oferece café da manhã incluso na diária. Isso foi decepcionante, pois esperávamos uma experiência mais completa.;experiência;-1;98;109
5057;O serviço de check-in do hotel foi demorado e pouco organizado. Perdemos muito tempo esperando para ser atendidos.;check-in;-1;13;21
5058;A comida no restaurante do hotel estava com um gosto estranho. Não conseguimos identificar o que estava errado, mas não nos agradou.;comida;-1;2;8
5059;O hotel não oferece serviço de lavanderia, o que foi um inconveniente para nós que estávamos viajando por um longo período.;lavanderia;-1;31;41
5060;O hotel não oferece serviço de lavanderia, o que foi um inconveniente para nós que estávamos viajando por um longo período.;inconveniente;-1;56;69
5061;O serviço de transporte oferecido pelo hotel estava sempre atrasado. Tivemos que esperar muito tempo para sermos levados aos lugares.;transporte;-1;13;23
5062;O hotel não oferece acesso para cadeirantes, o que é um problema para pessoas com mobilidade reduzida.;mobilidade;-1;82;92
5063;O quarto do hotel era pequeno e apertado, o que nos deixou desconfortáveis durante toda a estadia.;quarto;-1;2;8
5064;A piscina do hotel estava lotada durante todo o dia, o que dificultou nosso acesso e nos deixou desconfortáveis.;piscina;-1;2;9
5065;A piscina do hotel estava lotada durante todo o dia, o que dificultou nosso acesso e nos deixou desconfortáveis.;lotada;-1;26;32
5066;O hotel não oferece atividades de lazer para os hóspedes, o que tornou nossa estadia monótona e entediante.;lazer;-1;34;39
5067;O hotel não oferece estacionamento próprio, o que nos obrigou a procurar vagas na rua, o que foi muito inconveniente.;estacionamento;-1;20;34
5068;O ar condicionado do quarto estava fazendo barulhos estranhos durante a noite, o que nos atrapalhou muito para dormir.;ar condicionado;-1;2;17
5069;O ar condicionado do quarto estava fazendo barulhos estranhos durante a noite, o que nos atrapalhou muito para dormir.;barulho;-1;43;50
5070;O hotel não oferece café da manhã incluso na diária, o que achamos um ponto negativo, pois esperávamos uma experiência mais completa.;café da manhã;-1;20;33
5071;O hotel não oferece café da manhã incluso na diária, o que achamos um ponto negativo, pois esperávamos uma experiência mais completa.;experiência;-1;107;118
5072;O serviço de limpeza do hotel deixou a desejar. O banheiro não estava tão limpo quanto esperávamos.;limpeza;-1;13;20
5073;O serviço de limpeza do hotel deixou a desejar. O banheiro não estava tão limpo quanto esperávamos.;banheiro;-1;50;58
5074;A comida no restaurante do hotel estava fria e sem sabor. Definitivamente não correspondeu às nossas expectativas.;comida;-1;2;8
5075;A comida no restaurante do hotel estava fria e sem sabor. Definitivamente não correspondeu às nossas expectativas.;sabor;-1;51;56
5076;O hotel não oferece opções vegetarianas adequadas no menu do restaurante. Isso foi decepcionante para mim, como vegetariano.;vegetariano;-1;112;123
5077;O hotel não oferece opções vegetarianas adequadas no menu do restaurante. Isso foi decepcionante para mim, como vegetariano.;menu;-1;53;57
5078;A piscina do hotel estava suja e mal cuidada. Não nos sentimos confortáveis em usá-la durante nossa estadia.;piscina;-1;2;9
5079;A comida servida no café da manhã estava fria e sem graça. Esperávamos uma variedade melhor de opções.;café da manhã;-1;20;33
5080;A comida servida no café da manhã estava fria e sem graça. Esperávamos uma variedade melhor de opções.;variedade;-1;75;84
5081;A internet do hotel estava fora do ar durante toda a nossa estadia. Isso causou inconvenientes significativos para nós.;internet;-1;2;10
5082;A internet do hotel estava fora do ar durante toda a nossa estadia. Isso causou inconvenientes significativos para nós.;inconvenientes;-1;80;94
5083;O serviço de quarto do hotel era lento e pouco eficiente. Tivemos que esperar muito tempo para receber nossos pedidos.;serviço de quarto;-1;2;19
5084;O hotel não oferece estacionamento próprio, o que dificultou a nossa vida, pois tivemos que procurar estacionamento na rua.;estacionamento;-1;20;34
5085;O ar condicionado do quarto estava quebrado durante toda a nossa estadia. Passamos noites desconfortáveis devido ao calor.;ar condicionado;-1;2;17
5086;O hotel não oferece opções de lazer para crianças. Ficamos entediados durante nossa estadia.;lazer;-1;30;35
5087;O hotel não oferece opções de lazer para crianças. Ficamos entediados durante nossa estadia.;crianças;-1;41;49
5088;O serviço de café da manhã do hotel era limitado e pouco variado. Esperávamos mais opções.;café da manhã;-1;13;26
5089;O hotel não oferece serviço de quarto, o que foi frustrante para nós que gostamos de pedir refeições no quarto.;serviço de quarto;-1;20;37
5090;O hotel não oferece opções de entretenimento noturno para os hóspedes. Tivemos que procurar diversão em outros lugares.;entretenimento;-1;30;44
5091;O hotel não oferece opções de entretenimento noturno para os hóspedes. Tivemos que procurar diversão em outros lugares.;diversão;-1;92;100
5092;O hotel não oferece café da manhã incluso na diária. Isso foi decepcionante, pois esperávamos uma experiência mais completa.;café da manhã;-1;20;33
5093;O hotel não oferece café da manhã incluso na diária. Isso foi decepcionante, pois esperávamos uma experiência mais completa.;experiência;-1;98;109
5094;O serviço de check-in do hotel foi demorado e pouco organizado. Perdemos muito tempo esperando para ser atendidos.;check-in;-1;13;21
5095;A comida no restaurante do hotel estava com um gosto estranho. Não conseguimos identificar o que estava errado, mas não nos agradou.;comida;-1;2;8
5096;O hotel não oferece serviço de lavanderia, o que foi um inconveniente para nós que estávamos viajando por um longo período.;lavanderia;-1;31;41
5097;O hotel não oferece serviço de lavanderia, o que foi um inconveniente para nós que estávamos viajando por um longo período.;inconveniente;-1;56;69
5098;O serviço de transporte oferecido pelo hotel estava sempre atrasado. Tivemos que esperar muito tempo para sermos levados aos lugares.;transporte;-1;13;23
5099;O hotel não oferece acesso para cadeirantes, o que é um problema para pessoas com mobilidade reduzida.;mobilidade;-1;82;92
5100;O quarto do hotel era pequeno e apertado, o que nos deixou desconfortáveis durante toda a estadia.;quarto;-1;2;8
5101;A piscina do hotel estava lotada durante todo o dia, o que dificultou nosso acesso e nos deixou desconfortáveis.;piscina;-1;2;9
5102;A piscina do hotel estava lotada durante todo o dia, o que dificultou nosso acesso e nos deixou desconfortáveis.;lotada;-1;26;32
5103;O hotel não oferece atividades de lazer para os hóspedes, o que tornou nossa estadia monótona e entediante.;lazer;-1;34;39
5104;O hotel não oferece estacionamento próprio, o que nos obrigou a procurar vagas na rua, o que foi muito inconveniente.;estacionamento;-1;20;34
5105;O ar condicionado do quarto estava fazendo barulhos estranhos durante a noite, o que nos atrapalhou muito para dormir.;ar condicionado;-1;2;17
5106;O ar condicionado do quarto estava fazendo barulhos estranhos durante a noite, o que nos atrapalhou muito para dormir.;barulho;-1;43;50
5107;O hotel não oferece café da manhã incluso na diária, o que achamos um ponto negativo, pois esperávamos uma experiência mais completa.;café da manhã;-1;20;33
5108;O hotel não oferece café da manhã incluso na diária, o que achamos um ponto negativo, pois esperávamos uma experiência mais completa.;experiência;-1;107;118
5109;O serviço de limpeza do hotel deixou a desejar. O banheiro não estava tão limpo quanto esperávamos.;limpeza;-1;13;20
5110;O serviço de limpeza do hotel deixou a desejar. O banheiro não estava tão limpo quanto esperávamos.;banheiro;-1;50;58
5111;A comida no restaurante do hotel estava fria e sem sabor. Definitivamente não correspondeu às nossas expectativas.;comida;-1;2;8
5112;A comida no restaurante do hotel estava fria e sem sabor. Definitivamente não correspondeu às nossas expectativas.;sabor;-1;51;56
5113;O hotel não oferece opções vegetarianas adequadas no menu do restaurante. Isso foi decepcionante para mim, como vegetariano.;vegetariano;-1;112;123
5114;O hotel não oferece opções vegetarianas adequadas no menu do restaurante. Isso foi decepcionante para mim, como vegetariano.;menu;-1;53;57
5115;A piscina do hotel estava suja e mal cuidada. Não nos sentimos confortáveis em usá-la durante nossa estadia.;piscina;-1;2;9
5116;A comida servida no café da manhã estava fria e sem graça. Esperávamos uma variedade melhor de opções.;café da manhã;-1;20;33
5117;A comida servida no café da manhã estava fria e sem graça. Esperávamos uma variedade melhor de opções.;variedade;-1;75;84
5118;A internet do hotel estava fora do ar durante toda a nossa estadia. Isso causou inconvenientes significativos para nós.;internet;-1;2;10
5119;A internet do hotel estava fora do ar durante toda a nossa estadia. Isso causou inconvenientes significativos para nós.;inconvenientes;-1;80;94
5120;O hotel oferece um serviço de transporte conveniente para os pontos turísticos locais. Isso facilitou muito o nosso passeio pela cidade.;serviço;1;19;26
5121;O hotel oferece um serviço de transporte conveniente para os pontos turísticos locais. Isso facilitou muito o nosso passeio pela cidade.;passeio;1;116;123
5122;O quarto do hotel tinha uma vista deslumbrante para o mar. Passamos horas apenas admirando a paisagem!;vista;1;28;33
5123;O quarto do hotel tinha uma vista deslumbrante para o mar. Passamos horas apenas admirando a paisagem!;mar;1;54;57
5124;O café da manhã oferecido pelo hotel era variado e delicioso. Uma ótima maneira de começar o dia!;café;1;2;6
5125;O serviço de limpeza do hotel deixou um pouco a desejar. O banheiro não estava tão limpo quanto esperávamos.;limpeza;-1;13;20
5126;O serviço de limpeza do hotel deixou um pouco a desejar. O banheiro não estava tão limpo quanto esperávamos.;banheiro;-1;59;67
5127;O quarto do hotel era espaçoso e confortável. Tivemos uma ótima noite de sono!;quarto;1;2;8
5128;O hotel oferece uma piscina aquecida, perfeita para relaxar após um longo dia de passeio pela cidade.;piscina;1;20;27
5129;O hotel oferece uma piscina aquecida, perfeita para relaxar após um longo dia de passeio pela cidade.;relaxar;1;52;59
5130;A comida servida no restaurante do hotel estava deliciosa. Recomendo experimentar o prato de frutos do mar!;comida;1;2;8
5131;A comida servida no restaurante do hotel estava deliciosa. Recomendo experimentar o prato de frutos do mar!;frutos do mar;1;93;106
5132;O hotel oferece um spa maravilhoso, onde pudemos desfrutar de massagens relaxantes. Foi uma experiência rejuvenescedora!;spa;1;19;22
5133;A equipe do hotel foi extremamente atenciosa e prestativa durante toda a nossa estadia. Nos sentimos muito bem cuidados!;cuidados;1;111;119
5134;A localização do hotel é perfeita, com fácil acesso às principais atrações da cidade.;localização;1;2;13
5135;A localização do hotel é perfeita, com fácil acesso às principais atrações da cidade.;atrações;1;66;74
5136;O hotel oferece estacionamento gratuito, o que foi muito conveniente para nós que estávamos de carro.;estacionamento;1;16;30
5137;A academia do hotel estava bem equipada e limpa. Foi ótimo poder manter minha rotina de exercícios durante a viagem.;academia;1;2;10
5138;A academia do hotel estava bem equipada e limpa. Foi ótimo poder manter minha rotina de exercícios durante a viagem.;exercícios;1;88;98
5139;O hotel oferece um serviço de lavanderia eficiente, que nos ajudou muito durante nossa estadia prolongada.;lavanderia;1;30;40
5140;O hotel oferece um serviço de transporte conveniente para os pontos turísticos locais. Isso facilitou muito o nosso passeio pela cidade.;serviço;1;19;26
5141;O hotel oferece um serviço de transporte conveniente para os pontos turísticos locais. Isso facilitou muito o nosso passeio pela cidade.;passeio;1;116;123
5142;A comida no restaurante do hotel estava deliciosa. Recomendo experimentar o prato de frutos do mar!;comida;1;2;8
5143;A comida no restaurante do hotel estava deliciosa. Recomendo experimentar o prato de frutos do mar!;frutos do mar;1;85;98
5144;O hotel oferece um spa maravilhoso, onde pudemos desfrutar de massagens relaxantes. Foi uma experiência rejuvenescedora!;spa;1;19;22
5145;A equipe do hotel foi extremamente atenciosa e prestativa durante toda a nossa estadia. Nos sentimos muito bem cuidados!;cuidados;1;111;119
5146;A localização do hotel é perfeita, com fácil acesso às principais atrações da cidade.;localização;1;2;13
5147;A localização do hotel é perfeita, com fácil acesso às principais atrações da cidade.;atrações;1;66;74
5148;O hotel oferece estacionamento gratuito, o que foi muito conveniente para nós que estávamos de carro.;estacionamento;1;16;30
5149;A academia do hotel estava bem equipada e limpa. Foi ótimo poder manter minha rotina de exercícios durante a viagem.;academia;1;2;10
5150;A academia do hotel estava bem equipada e limpa. Foi ótimo poder manter minha rotina de exercícios durante a viagem.;exercícios;1;88;98
5151;O hotel oferece um serviço de lavanderia eficiente, que nos ajudou muito durante nossa estadia prolongada.;lavanderia;1;30;40
5152;O hotel oferece um serviço de transporte conveniente para os pontos turísticos locais. Isso facilitou muito o nosso passeio pela cidade.;serviço;1;19;26
5153;O hotel oferece um serviço de transporte conveniente para os pontos turísticos locais. Isso facilitou muito o nosso passeio pela cidade.;passeio;1;116;123
5154;A comida no restaurante do hotel estava deliciosa. Recomendo experimentar o prato de frutos do mar!;comida;1;2;8
5155;A comida no restaurante do hotel estava deliciosa. Recomendo experimentar o prato de frutos do mar!;frutos do mar;1;85;98
5156;O hotel oferece um spa maravilhoso, onde pudemos desfrutar de massagens relaxantes. Foi uma experiência rejuvenescedora!;spa;1;19;22
5157;A equipe do hotel foi extremamente atenciosa e prestativa durante toda a nossa estadia. Nos sentimos muito bem cuidados!;cuidados;1;111;119
5158;A localização do hotel é perfeita, com fácil acesso às principais atrações da cidade.;localização;1;2;13
5159;A localização do hotel é perfeita, com fácil acesso às principais atrações da cidade.;atrações;1;66;74
5160;O hotel oferece estacionamento gratuito, o que foi muito conveniente para nós que estávamos de carro.;estacionamento;1;16;30
5161;A academia do hotel estava bem equipada e limpa. Foi ótimo poder manter minha rotina de exercícios durante a viagem.;academia;1;2;10
5162;A academia do hotel estava bem equipada e limpa. Foi ótimo poder manter minha rotina de exercícios durante a viagem.;exercícios;1;88;98
5163;O hotel oferece um serviço de lavanderia eficiente, que nos ajudou muito durante nossa estadia prolongada.;lavanderia;1;30;40
5164;O hotel oferece um serviço de transporte conveniente para os pontos turísticos locais. Isso facilitou muito o nosso passeio pela cidade.;serviço;1;19;26
5165;O hotel oferece um serviço de transporte conveniente para os pontos turísticos locais. Isso facilitou muito o nosso passeio pela cidade.;passeio;1;116;123
5166;A comida no restaurante do hotel estava deliciosa. Recomendo experimentar o prato de frutos do mar!;comida;1;2;8
5167;A comida no restaurante do hotel estava deliciosa. Recomendo experimentar o prato de frutos do mar!;frutos do mar;1;85;98
5168;O hotel oferece um spa maravilhoso, onde pudemos desfrutar de massagens relaxantes. Foi uma experiência rejuvenescedora!;spa;1;19;22
5169;A equipe do hotel foi extremamente atenciosa e prestativa durante toda a nossa estadia. Nos sentimos muito bem cuidados!;cuidados;1;111;119
5170;A localização do hotel é perfeita, com fácil acesso às principais atrações da cidade.;localização;1;2;13
5171;A localização do hotel é perfeita, com fácil acesso às principais atrações da cidade.;atrações;1;66;74
5172;O hotel oferece estacionamento gratuito, o que foi muito conveniente para nós que estávamos de carro.;estacionamento;1;16;30
5173;A academia do hotel estava bem equipada e limpa. Foi ótimo poder manter minha rotina de exercícios durante a viagem.;academia;1;2;10
5174;A academia do hotel estava bem equipada e limpa. Foi ótimo poder manter minha rotina de exercícios durante a viagem.;exercícios;1;88;98
5175;O hotel oferece um serviço de lavanderia eficiente, que nos ajudou muito durante nossa estadia prolongada.;lavanderia;1;30;40
5176;O hotel oferece um serviço de transporte conveniente para os pontos turísticos locais. Isso facilitou muito o nosso passeio pela cidade.;serviço;1;19;26
5177;O hotel oferece um serviço de transporte conveniente para os pontos turísticos locais. Isso facilitou muito o nosso passeio pela cidade.;passeio;1;116;123
5178;A comida no restaurante do hotel estava deliciosa. Recomendo experimentar o prato de frutos do mar!;comida;1;2;8
5179;A comida no restaurante do hotel estava deliciosa. Recomendo experimentar o prato de frutos do mar!;frutos do mar;1;85;98
5180;O hotel oferece um spa maravilhoso, onde pudemos desfrutar de massagens relaxantes. Foi uma experiência rejuvenescedora!;spa;1;19;22
5181;A equipe do hotel foi extremamente atenciosa e prestativa durante toda a nossa estadia. Nos sentimos muito bem cuidados!;cuidados;1;111;119
5182;A localização do hotel é perfeita, com fácil acesso às principais atrações da cidade.;localização;1;2;13
5183;A localização do hotel é perfeita, com fácil acesso às principais atrações da cidade.;atrações;1;66;74
5184;O hotel oferece estacionamento gratuito, o que foi muito conveniente para nós que estávamos de carro.;estacionamento;1;16;30
5185;A academia do hotel estava bem equipada e limpa. Foi ótimo poder manter minha rotina de exercícios durante a viagem.;academia;1;2;10
5186;A academia do hotel estava bem equipada e limpa. Foi ótimo poder manter minha rotina de exercícios durante a viagem.;exercícios;1;88;98
5187;O hotel oferece um serviço de lavanderia eficiente, que nos ajudou muito durante nossa estadia prolongada.;lavanderia;1;30;40
5188;O hotel oferece um serviço de transporte conveniente para os pontos turísticos locais. Isso facilitou muito o nosso passeio pela cidade.;serviço;1;19;26
5189;O hotel oferece um serviço de transporte conveniente para os pontos turísticos locais. Isso facilitou muito o nosso passeio pela cidade.;passeio;1;116;123
5190;O quarto do hotel tinha uma vista deslumbrante para o mar. Passamos horas apenas admirando a paisagem!;vista;1;28;33
5191;O quarto do hotel tinha uma vista deslumbrante para o mar. Passamos horas apenas admirando a paisagem!;mar;1;54;57
5192;O café da manhã oferecido pelo hotel era variado e delicioso. Uma ótima maneira de começar o dia!;café;1;2;6
5193;O serviço de limpeza do hotel deixou um pouco a desejar. O banheiro não estava tão limpo quanto esperávamos.;limpeza;-1;13;20
5194;O serviço de limpeza do hotel deixou um pouco a desejar. O banheiro não estava tão limpo quanto esperávamos.;banheiro;-1;59;67
5195;O quarto do hotel era espaçoso e confortável. Tivemos uma ótima noite de sono!;quarto;1;2;8
5196;O hotel oferece uma piscina aquecida, perfeita para relaxar após um longo dia de passeio pela cidade.;piscina;1;20;27
5197;O hotel oferece uma piscina aquecida, perfeita para relaxar após um longo dia de passeio pela cidade.;relaxar;1;52;59
5198;A comida servida no restaurante do hotel estava deliciosa. Recomendo experimentar o prato de frutos do mar!;comida;1;2;8
5199;A comida servida no restaurante do hotel estava deliciosa. Recomendo experimentar o prato de frutos do mar!;frutos do mar;1;93;106
5200;O hotel oferece um spa maravilhoso, onde pudemos desfrutar de massagens relaxantes. Foi uma experiência rejuvenescedora!;spa;1;19;22
5201;A equipe do hotel foi extremamente atenciosa e prestativa durante toda a nossa estadia. Nos sentimos muito bem cuidados!;cuidados;1;111;119
5202;A localização do hotel é perfeita, com fácil acesso às principais atrações da cidade.;localização;1;2;13
5203;A localização do hotel é perfeita, com fácil acesso às principais atrações da cidade.;atrações;1;66;74
5204;O hotel oferece estacionamento gratuito, o que foi muito conveniente para nós que estávamos de carro.;estacionamento;1;16;30
5205;A academia do hotel estava bem equipada e limpa. Foi ótimo poder manter minha rotina de exercícios durante a viagem.;academia;1;2;10
5206;A academia do hotel estava bem equipada e limpa. Foi ótimo poder manter minha rotina de exercícios durante a viagem.;exercícios;1;88;98
5207;O hotel oferece um serviço de lavanderia eficiente, que nos ajudou muito durante nossa estadia prolongada.;lavanderia;1;30;40
5208;O hotel oferece um serviço de transporte conveniente para os pontos turísticos locais. Isso facilitou muito o nosso passeio pela cidade.;serviço;1;19;26
5209;O hotel oferece um serviço de transporte conveniente para os pontos turísticos locais. Isso facilitou muito o nosso passeio pela cidade.;passeio;1;116;123
5210;A comida no restaurante do hotel estava deliciosa. Recomendo experimentar o prato de frutos do mar!;comida;1;2;8
5211;A comida no restaurante do hotel estava deliciosa. Recomendo experimentar o prato de frutos do mar!;frutos do mar;1;85;98
5212;O hotel oferece um spa maravilhoso, onde pudemos desfrutar de massagens relaxantes. Foi uma experiência rejuvenescedora!;spa;1;19;22
5213;A equipe do hotel foi extremamente atenciosa e prestativa durante toda a nossa estadia. Nos sentimos muito bem cuidados!;cuidados;1;111;119
5214;A localização do hotel é perfeita, com fácil acesso às principais atrações da cidade.;localização;1;2;13
5215;A localização do hotel é perfeita, com fácil acesso às principais atrações da cidade.;atrações;1;66;74
5216;O hotel oferece estacionamento gratuito, o que foi muito conveniente para nós que estávamos de carro.;estacionamento;1;16;30
5217;A academia do hotel estava bem equipada e limpa. Foi ótimo poder manter minha rotina de exercícios durante a viagem.;academia;1;2;10
5218;A academia do hotel estava bem equipada e limpa. Foi ótimo poder manter minha rotina de exercícios durante a viagem.;exercícios;1;88;98
5219;O hotel oferece um serviço de lavanderia eficiente, que nos ajudou muito durante nossa estadia prolongada.;lavanderia;1;30;40
